first_name,last_name,gender,age,age_group,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
Quillan,Guinane,Male,71,80,36,Community Outreach Specialist,Missing,High Net Worth,N,Yes,21,803 Badeau Point,2177,NSW,Australia,8,181,1.158125
Harlin,Mazin,Male,43,50,34,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,13,735 Westridge Road,2454,NSW,Australia,7,181,1.158125
Eustacia,Dornan,Female,32,40,68,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9,181,1.158125
Maury,Galego,Male,25,30,65,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10,181,1.158125
Reggie,Kernar,Female,46,50,26,Senior Editor,Financial Services,High Net Worth,N,No,17,90 Northport Hill,2228,NSW,Australia,10,181,1.158125
Brigitte,Whellams,Female,44,50,67,Payment Adjustment Coordinator,Missing,Mass Customer,N,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,188,1.15625
Kinna,Kollasch,Female,31,40,7,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,188,1.15625
Maurizio,Comi,Male,21,30,74,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9,190,1.15546875
Elbertina,Fendley,Female,25,30,32,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11,191,1.15
Franklin,Wohler,Male,79,80,55,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,191,1.15
Allyson,Petchell,Female,47,50,16,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8,191,1.15
Ermentrude,Heindle,Female,48,50,47,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,307 Knutson Center,2226,NSW,Australia,10,191,1.15
Alanna,Lerway,Female,74,80,26,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,195,1.1475
Vincent,Jopke,Male,45,50,6,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,45788 Stang Plaza,3687,VIC,Australia,3,195,1.1475
Mandie,Jeffryes,Female,36,40,60,Business Systems Development Analyst,Missing,High Net Worth,N,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,195,1.1475
Collete,Dory,Female,27,30,66,Information Systems Manager,Missing,High Net Worth,N,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,195,1.1475
Leonid,Dorricott,Male,24,30,44,Environmental Tech,Missing,Affluent Customer,N,No,3,02 Hoffman Road,2448,NSW,Australia,3,195,1.1475
Charlena,Berney,Female,52,60,55,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,496 Logan Center,4207,QLD,Australia,4,195,1.1475
Alfonso,Massel,Male,77,80,70,Missing,Missing,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,201,1.1421875
Engracia,Dobbs,Female,58,60,84,Missing,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,202,1.140625
Glyn,None,Male,72,80,47,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,202,1.140625
Rosemonde,Cartwight,Female,65,70,44,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,QLD,Australia,1,202,1.140625
Alano,Satchel,Male,19,20,2,Recruiting Manager,Missing,Mass Customer,N,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,202,1.140625
Corrine,Baribal,Female,69,70,19,Senior Sales Associate,Missing,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,206,1.1375
Benoit,Harniman,Male,41,50,31,Research Assistant II,Telecommunications,Affluent Customer,N,No,9,1582 Bashford Drive,4018,QLD,Australia,7,206,1.1375
Jeanne,Darte,Female,62,70,70,Missing,Missing,Mass Customer,N,Yes,11,3 Homewood Park,2756,NSW,Australia,7,206,1.1375
Jenelle,Fearnill,Female,60,70,12,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,NSW,Australia,9,206,1.1375
Tannie,Gambrell,Male,50,60,92,Financial Analyst,Financial Services,Affluent Customer,N,No,4,49 Surrey Point,4710,QLD,Australia,4,206,1.1375
Mick,Macewan,Male,50,60,32,Senior Cost Accountant,Financial Services,Mass Customer,N,No,16,59254 Northland Alley,2032,NSW,Australia,10,206,1.1375
Abbie,Oldman,Male,34,40,82,Missing,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,212,1.136875
Tabbie,Curner,Male,20,30,12,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6,212,1.136875
Shane,Killen,Male,61,70,28,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,212,1.136875
Roberta,Goodale,Female,70,80,9,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7,215,1.12890625
Kippy,Barabisch,Male,17,20,11,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11,215,1.12890625
Rosalinde,Cubuzzi,Female,20,30,50,Business Systems Development Analyst,Missing,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,215,1.12890625
Cami,Barnbrook,Female,55,60,8,Occupational Therapist,Health,Affluent Customer,N,Yes,18,890 Truax Lane,4285,QLD,Australia,2,218,1.12625
Dorian,Stollen,Male,37,40,78,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,219,1.125
Hunfredo,Hayball,Male,23,30,7,Missing,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,219,1.125
Giorgi,O'Shirine,Male,36,40,68,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,VIC,Australia,8,219,1.125
Kort,Disley,Male,38,40,66,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,NSW,Australia,9,219,1.125
Gretna,Thredder,Female,52,60,62,Missing,Missing,Mass Customer,N,No,18,1607 Westridge Drive,2203,NSW,Australia,11,223,1.115625
Tobiah,Heinsius,Male,17,20,66,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,223,1.115625
Wallace,Newart,Male,40,50,91,Missing,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,223,1.115625
Hersh,Stubbert,Male,17,20,0,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,226,1.1125
Wyn,Saynor,Male,53,60,54,Cost Accountant,Financial Services,High Net Worth,N,No,8,5 Briar Crest Road,2099,NSW,Australia,9,226,1.1125
Maribeth,Stivani,Female,63,70,46,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,Australia,8,226,1.1125
Abigale,Sives,Female,54,60,48,VP Marketing,Health,Affluent Customer,N,Yes,14,2 Glendale Center,4207,QLD,Australia,4,230,1.109375
Gothart,Artus,Male,39,40,52,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,231,1.105
Danny,Bodle,Male,74,80,50,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,Australia,9,231,1.105
Vittorio,Boxen,Male,52,60,94,Mechanical Systems Engineer,Missing,Mass Customer,N,No,14,3 Anthes Court,2148,NSW,Australia,9,233,1.1
Deborah,Petrovsky,Female,74,80,53,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,Australia,7,233,1.1
Agace,Hedge,Female,20,30,25,Media Manager II,Missing,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,233,1.1
Rolland,Esmead,Male,77,80,41,Missing,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,233,1.1
Latrena,Walklate,Female,74,80,97,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,237,1.094375
Mariquilla,Springthorpe,Female,78,80,30,Director of Sales,Missing,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,Australia,10,237,1.094375
Leticia,Danovich,Female,76,80,84,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,237,1.094375
Harman,Lynds,Male,56,60,4,Professor,Missing,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,Australia,8,240,1.09
Farra,Matyushkin,Female,43,50,18,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9,241,1.0875
Robenia,Monks,Female,58,60,94,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,241,1.0875
Roman,Eastwood,Male,48,50,57,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4,241,1.0875
Solomon,Bruck,Male,60,70,29,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8,244,1.08375
Krystyna,Airey,Female,67,70,2,Safety Technician II,Missing,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,244,1.08375
Katharine,Redbourn,Female,50,60,8,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10,244,1.08375
Cammy,Stoneham,Female,54,60,74,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,QLD,Australia,3,244,1.08375
Ellsworth,Andrieux,Male,46,50,49,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,08912 Carberry Place,4036,QLD,Australia,7,248,1.078125
Federico,Leuty,Male,39,40,59,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,249,1.07578125
Ferdy,Hornung,Male,43,50,57,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,0686 Hallows Trail,4506,QLD,Australia,3,250,1.075
Sunny,Christescu,Female,42,50,90,Cost Accountant,Financial Services,Mass Customer,N,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,250,1.075
Shadow,Yakutin,Male,50,60,85,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,QLD,Australia,2,252,1.073125
Sharai,Priddie,Female,56,60,13,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,Australia,9,252,1.073125
Celeste,Fretson,Female,37,40,91,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,NSW,Australia,9,252,1.073125
Lea,Ilyinski,Female,20,30,75,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,252,1.073125
Dyann,Olechnowicz,Female,78,80,17,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,Australia,10,252,1.073125
Delly,Sunman,Female,58,60,49,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,Australia,12,252,1.073125
Malvin,Ryhorovich,Male,55,60,37,Quality Control Specialist,Missing,Mass Customer,N,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,252,1.073125
Tanya,Hamberston,Female,17,20,45,Product Engineer,Missing,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,259,1.0625
Kaela,Romaines,Female,46,50,41,Geological Engineer,Manufacturing,High Net Worth,N,No,19,9193 Prairieview Drive,2155,NSW,Australia,10,259,1.0625
Evonne,Bembridge,Female,48,50,9,Recruiting Manager,Retail,Mass Customer,N,Yes,14,13272 Basil Avenue,3103,VIC,Australia,9,259,1.0625
Shannen,Lewin,Female,26,30,21,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,QLD,Australia,6,259,1.0625
Bogey,Attew,Male,25,30,88,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,QLD,Australia,9,259,1.0625
Zondra,Ringham,Female,70,80,36,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,259,1.0625
Barnebas,Apfel,Male,21,30,57,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,QLD,Australia,6,259,1.0625
Alleen,Eaken,Female,79,80,56,Missing,Missing,Mass Customer,N,No,10,343 Lakewood Center,2089,NSW,Australia,12,259,1.0625
Gerri,Schimann,Female,48,50,81,Desktop Support Technician,Property,Mass Customer,N,Yes,18,47 Kim Terrace,2566,NSW,Australia,8,259,1.0625
Antonietta,Egle,Female,44,50,82,Actuary,Financial Services,Mass Customer,N,No,7,590 Hagan Parkway,3805,VIC,Australia,7,259,1.0625
Raff,Waycott,Male,66,70,70,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,259,1.0625
Lark,Gonet,Female,45,50,89,Database Administrator II,Health,High Net Worth,N,No,8,261 Orin Center,2763,NSW,Australia,8,259,1.0625
Cletis,Longley,Male,21,30,84,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,271,1.06
Bartram,Di Lucia,Male,57,60,70,Missing,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,271,1.06
Theresa,Cowper,Female,41,50,99,Accountant III,Manufacturing,Mass Customer,N,No,3,88 Mifflin Pass,2529,NSW,Australia,10,271,1.06
Philbert,Raraty,Male,61,70,48,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,NSW,Australia,9,274,1.051875
Egon,Ortells,Male,41,50,35,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,3 Sundown Hill,2168,NSW,Australia,9,274,1.051875
Dahlia,Shovlar,Female,51,60,90,Environmental Specialist,Missing,Affluent Customer,N,Yes,7,655 Glendale Trail,3976,VIC,Australia,3,274,1.051875
Timi,Duny,Female,64,70,70,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,NSW,Australia,12,274,1.051875
Dominick,Asher,Male,55,60,50,Research Associate,Health,Affluent Customer,N,Yes,5,7307 Lake View Crossing,3804,VIC,Australia,9,278,1.05
Raye,Roo,Female,41,50,64,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,1199 Express Plaza,3046,VIC,Australia,9,278,1.05
Becka,Hacon,Female,52,60,81,General Manager,Financial Services,Affluent Customer,N,No,17,1 Namekagon Point,3791,VIC,Australia,9,278,1.05
Cirillo,Frossell,Male,49,50,7,Graphic Designer,Missing,Mass Customer,N,No,6,602 Meadow Vale Lane,2111,NSW,Australia,12,278,1.05
Verla,Dumingos,Female,46,50,26,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,6784 Spohn Alley,3021,VIC,Australia,8,282,1.04921875
Sherrie,Godleman,Female,39,40,37,Associate Professor,Manufacturing,Mass Customer,N,No,19,67 Shelley Crossing,3350,VIC,Australia,2,282,1.04921875
Dexter,Shutle,Male,59,60,81,Quality Control Specialist,Missing,Mass Customer,N,No,17,07 Dayton Court,4005,QLD,Australia,7,284,1.046875
Konstanze,Hovie,Female,51,60,88,Pharmacist,Health,Mass Customer,N,No,11,351 Sunfield Lane,4370,QLD,Australia,7,285,1.04125
Bink,Bentje,Male,60,70,3,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,NSW,Australia,3,285,1.04125
Taber,Szymon,Male,70,80,70,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,984 Del Sol Junction,4659,QLD,Australia,8,287,1.04
Debbi,Dannatt,Female,59,60,2,Technical Writer,Missing,Affluent Customer,N,No,6,3 Pepper Wood Hill,4218,QLD,Australia,10,287,1.04
Giana,Staresmeare,Female,41,50,96,Account Representative IV,Retail,Affluent Customer,N,Yes,9,8737 Scoville Center,2770,NSW,Australia,7,289,1.0375
Morton,Petkens,Male,27,30,50,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,385 Montana Place,3012,VIC,Australia,1,289,1.0375
Vittoria,Whitney,Female,36,40,95,Research Assistant I,Missing,High Net Worth,N,No,12,3 Surrey Court,2019,NSW,Australia,11,291,1.0359375
Paquito,Atwood,Male,45,50,15,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,2 Magdeline Street,3199,VIC,Australia,8,291,1.0359375
Dimitri,Tribbeck,Male,59,60,89,Chief Design Engineer,Missing,Affluent Customer,N,No,20,93235 Hoard Trail,3165,VIC,Australia,6,291,1.0359375
Shelli,Bartholomaus,Female,54,60,88,Associate Professor,Health,Mass Customer,N,Yes,6,356 Carberry Avenue,3082,VIC,Australia,7,291,1.0359375
Kermit,Lebond,Male,37,40,36,Financial Advisor,Financial Services,Mass Customer,N,No,4,71 Ludington Center,4208,QLD,Australia,8,295,1.03125
Biddie,Gorce,Female,29,30,68,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2116 Continental Terrace,2795,NSW,Australia,7,295,1.03125
Rupert,Marrow,Male,47,50,73,Missing,Property,High Net Worth,N,No,19,2 7th Way,2760,NSW,Australia,8,297,1.030625
Geoff,Sitford,Male,52,60,97,Account Executive,Financial Services,Mass Customer,N,Yes,4,7 Elgar Road,2148,NSW,Australia,8,297,1.030625
Ange,Chitham,Female,26,30,91,Missing,Argiculture,Mass Customer,N,No,10,00003 Hoffman Pass,2560,NSW,Australia,8,297,1.030625
Tiphanie,Blackader,Female,70,80,59,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,71 Stone Corner Avenue,2007,NSW,Australia,11,297,1.030625
Zollie,Crinidge,Male,29,30,39,Systems Administrator I,Retail,Mass Customer,N,Yes,10,0 Esker Avenue,4019,QLD,Australia,5,297,1.030625
Daisy,Pollen,Female,24,30,97,Cost Accountant,Financial Services,Mass Customer,N,No,7,61825 Debs Terrace,3167,VIC,Australia,9,302,1.03
Emelen,Bidnall,Male,36,40,79,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,11 Oak Terrace,2026,NSW,Australia,12,302,1.03
Linette,Boman,Female,68,70,56,Account Executive,Missing,Affluent Customer,N,No,11,7 Michigan Hill,2076,NSW,Australia,11,304,1.025
Manya,Abramovici,Female,62,70,42,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8 Randy Park,4214,QLD,Australia,8,304,1.025
Brynna,Tivers,Female,43,50,81,Recruiting Manager,Financial Services,Mass Customer,N,No,6,0 Mayfield Parkway,4272,QLD,Australia,7,304,1.025
Art,Carolan,Male,63,70,1,Marketing Manager,Missing,Affluent Customer,N,Yes,11,57903 Hanson Parkway,2570,NSW,Australia,9,304,1.025
Alfi,Sabbins,Female,58,60,63,Missing,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,304,1.025
Loleta,Aberdalgy,Female,36,40,45,Occupational Therapist,Health,Mass Customer,N,No,11,99 Westend Court,2287,NSW,Australia,6,304,1.025
Aldric,Birney,Male,46,50,21,Missing,Manufacturing,Mass Customer,N,Yes,14,5 Caliangt Center,2546,NSW,Australia,6,310,1.02265625
Natividad,Balducci,Female,26,30,39,Missing,Property,High Net Worth,N,Yes,10,4472 Washington Junction,3206,VIC,Australia,11,310,1.02265625
Claudine,Dymick,Female,52,60,28,Design Engineer,Health,Mass Customer,N,No,5,31675 Corry Way,3977,VIC,Australia,5,312,1.02
Seamus,Cains,Male,28,30,61,Teacher,Manufacturing,High Net Worth,N,No,7,4882 Dakota Center,2305,NSW,Australia,8,312,1.02
Guss,Karim,Male,49,50,95,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,4 Warner Circle,2227,NSW,Australia,11,312,1.02
Julietta,Setchfield,Female,25,30,73,Operator,Missing,High Net Worth,N,Yes,3,4 Manufacturers Crossing,4170,QLD,Australia,8,312,1.02
Roch,Symson,Female,39,40,96,Office Assistant I,Manufacturing,High Net Worth,N,No,18,016 Westport Park,3073,VIC,Australia,9,312,1.02
Audry,Fann,Female,60,70,3,Pharmacist,Health,Mass Customer,N,Yes,15,19 Debs Parkway,3029,VIC,Australia,6,312,1.02
Cecelia,Cisar,Female,32,40,20,Missing,Property,Mass Customer,N,Yes,15,665 Sachs Way,4212,QLD,Australia,7,312,1.02
Clari,Voas,Female,62,70,74,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8,312,1.02
Zach,Hedman,Male,36,40,87,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,62 Spaight Center,2566,NSW,Australia,9,320,1.015625
Paxon,Roomes,Male,41,50,78,Information Systems Manager,Missing,High Net Worth,N,Yes,7,3 Express Lane,3021,VIC,Australia,7,320,1.015625
Parnell,Lamprey,Male,40,50,23,Engineer III,Financial Services,High Net Worth,N,No,12,7353 Mallard Junction,2165,NSW,Australia,6,322,1.0125
Honey,Gosdin,Female,36,40,0,Software Engineer I,Property,Mass Customer,N,No,17,066 Warner Trail,2582,NSW,Australia,9,322,1.0125
Sonny,McCart,Male,25,30,35,Account Representative I,Manufacturing,High Net Worth,N,No,9,52752 Barby Hill,3020,VIC,Australia,9,324,1.01
Deirdre,Burgoine,Female,63,70,14,Programmer III,Health,High Net Worth,N,No,7,0 Stoughton Park,3000,VIC,Australia,1,326,1.009375
Haleigh,None,Female,65,70,17,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,49 Jana Point,4503,QLD,Australia,4,326,1.009375
Aldridge,Poskitt,Male,35,40,84,VP Sales,Missing,Mass Customer,N,No,12,7 Fordem Point,4161,QLD,Australia,5,326,1.009375
Zechariah,McReidy,Male,39,40,32,Technical Writer,Manufacturing,High Net Worth,N,No,21,797 Westend Street,4207,QLD,Australia,6,329,1.0
Carry,Costi,Female,45,50,32,Senior Developer,Property,Mass Customer,N,No,11,5316 Farwell Hill,2800,NSW,Australia,4,329,1.0
Alon,None,Male,18,20,17,Accountant IV,Missing,Affluent Customer,N,No,9,770 Crest Line Parkway,4218,QLD,Australia,3,329,1.0
Ahmed,Pickthorne,Male,58,60,46,Marketing Manager,Missing,High Net Worth,N,Yes,15,50 American Street,2147,NSW,Australia,9,329,1.0
Nil,Shirer,Male,20,30,64,Librarian,Entertainment,Mass Customer,N,Yes,7,4793 Mcbride Pass,3013,VIC,Australia,8,329,1.0
Erhard,O'Moylane,Male,39,40,33,Media Manager I,Retail,Affluent Customer,N,Yes,9,01124 Dottie Lane,3630,VIC,Australia,2,334,0.9987499999999998
Vitia,Axtens,Female,72,80,62,Financial Advisor,Financial Services,Mass Customer,N,Yes,15,42681 Carey Alley,2011,NSW,Australia,10,334,0.9987499999999998
Haskell,Moxted,Male,74,80,81,Civil Engineer,Manufacturing,Mass Customer,N,No,7,2941 Talisman Alley,2145,NSW,Australia,9,334,0.9987499999999998
Ebony,Conrad,Female,18,20,8,Environmental Tech,Financial Services,Mass Customer,N,Yes,16,990 Hoffman Avenue,3029,VIC,Australia,7,334,0.9987499999999998
Lincoln,Boler,Male,41,50,53,Chief Design Engineer,Missing,Affluent Customer,N,No,14,5 Summer Ridge Court,3207,VIC,Australia,8,338,0.99609375
Vladimir,Westmerland,Male,61,70,18,Missing,Manufacturing,Mass Customer,N,Yes,18,102 Charing Cross Terrace,2640,NSW,Australia,4,338,0.99609375
Kylynn,Drowsfield,Female,42,50,80,Editor,Missing,High Net Worth,N,Yes,7,5 Trailsway Avenue,3059,VIC,Australia,9,338,0.99609375
Nicole,Ruckhard,Female,48,50,93,Human Resources Manager,Health,Affluent Customer,N,Yes,17,23694 Leroy Place,4560,QLD,Australia,3,341,0.99
Celestina,Lethardy,Female,49,50,38,Software Consultant,IT,Mass Customer,N,Yes,11,53 Memorial Street,3163,VIC,Australia,10,341,0.99
Tannie,Petrakov,Male,66,70,84,Data Coordiator,IT,Affluent Customer,N,No,10,691 Valley Edge Alley,4078,QLD,Australia,6,341,0.99
Bessy,Saladin,Female,78,80,22,VP Marketing,Manufacturing,Mass Customer,N,Yes,16,60073 Pankratz Pass,4075,QLD,Australia,10,341,0.99
Diego,Van den Broek,Male,53,60,17,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,13,8 Schlimgen Drive,4055,QLD,Australia,7,345,0.988125
Lucilia,Minshall,Female,65,70,71,Missing,IT,Mass Customer,N,Yes,7,0237 Mallard Place,2750,NSW,Australia,8,345,0.988125
Cissiee,Pollington,Female,76,80,43,Associate Professor,Property,Mass Customer,N,Yes,7,69710 Northfield Center,2256,NSW,Australia,9,345,0.988125
Eddy,Sturch,Male,56,60,22,Software Consultant,Financial Services,High Net Worth,N,Yes,17,1 Kinsman Crossing,4158,QLD,Australia,6,345,0.988125
Caron,Kezar,Female,64,70,11,Social Worker,Health,Mass Customer,N,No,5,40553 Rigney Avenue,2835,NSW,Australia,1,349,0.9875
Sandor,Stirland,Male,36,40,67,Web Developer IV,Manufacturing,High Net Worth,N,No,12,48578 Farmco Park,3235,VIC,Australia,10,349,0.9875
Gallagher,Bromell,Male,61,70,18,Assistant Manager,Missing,Mass Customer,N,No,17,91634 Badeau Crossing,4556,QLD,Australia,8,349,0.9875
Murial,Bulloch,Female,53,60,59,Missing,Financial Services,Mass Customer,N,No,13,391 Old Shore Lane,2011,NSW,Australia,6,349,0.9875
Delinda,Ech,Female,73,80,74,Environmental Specialist,Argiculture,Mass Customer,N,Yes,17,28 Golf View Terrace,3101,VIC,Australia,10,349,0.9875
Hussein,Tapenden,Male,64,70,19,Pharmacist,Health,Affluent Customer,N,Yes,12,0197 Sachs Avenue,2747,NSW,Australia,8,349,0.9875
Giulietta,Garbott,Female,15,20,59,Technical Writer,Missing,Affluent Customer,N,Yes,14,48297 Stuart Circle,3810,VIC,Australia,5,355,0.984375
Kaylyn,Jakaway,Female,37,40,45,Registered Nurse,Health,Affluent Customer,N,No,10,67 Heath Circle,2290,NSW,Australia,8,356,0.9828125
Brynn,Goodyear,Female,73,80,30,Human Resources Manager,Health,Mass Customer,N,Yes,11,3 Sheridan Lane,3075,VIC,Australia,7,356,0.9828125
Otis,None,Male,47,50,59,Electrical Engineer,Manufacturing,Affluent Customer,N,No,12,04 Oakridge Plaza,2075,NSW,Australia,11,358,0.98
Pace,Clemonts,Male,27,30,99,Media Manager IV,Retail,High Net Worth,N,No,10,335 Cambridge Hill,3122,VIC,Australia,7,358,0.98
Muffin,Grigolon,Male,38,40,7,Senior Editor,Telecommunications,Mass Customer,N,No,12,4597 Marcy Point,2232,NSW,Australia,10,361,0.9775
Allsun,Biner,Female,20,30,67,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,10,9 Walton Way,2641,NSW,Australia,2,361,0.9775
Kenneth,Elleyne,Male,60,70,13,Technical Writer,Financial Services,Mass Customer,N,No,13,27429 Dottie Plaza,3145,VIC,Australia,11,361,0.9775
Clotilda,Southers,Female,18,20,62,Computer Systems Analyst II,Financial Services,Mass Customer,N,Yes,15,42 Donald Hill,2323,NSW,Australia,4,361,0.9775
Augustus,Bourley,Male,36,40,60,Missing,Health,Affluent Customer,N,No,18,3 Hoepker Parkway,4152,QLD,Australia,10,366,0.9750000000000001
Daisi,Tinwell,Female,46,50,84,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,11,19561 Express Street,2777,NSW,Australia,8,366,0.9750000000000001
